generation,rank,α,β,γ,α/β,fitness,consciousness,correlation,phi_distance,phi_proximity,organization,coherence,lyapunov
0,0,0.233194990449919,0.14537520178674299,1.1697214743033209,1.6040905710452775,0.8874988229459774,4.9999488402848105,0.99999823587189,0.013943417704617378,0.8944490457189359,0.5206438073024374,0.9999983817297584,0.0
0,1,0.19817811583210582,0.12449641843560319,1.2266116667865674,1.5918378883695767,0.8328768064620562,4.797094078575173,0.993003244088799,0.026196100380318166,0.8109338427979377,0.5116083092962722,0.9999959829396592,0.0
0,2,0.19640512794213624,0.12387964434623194,1.2223600635310623,1.5854511770570021,0.8212822228242113,4.864542614924869,0.9953290556870644,0.03258281169289279,0.7705409382755637,0.5114211034441434,0.999994536290738,0.0
0,3,0.2029915152430942,0.12862111535004273,1.1617079507798191,1.5782129916277916,0.8036501133514308,4.864433916323437,0.9953253074594288,0.0398209971221033,0.7271896441218311,0.5186946398230561,0.9941892017339217,0.0
0,4,0.21026203435223517,0.12688944456616066,1.1505423402889772,1.6570490561380282,0.7878062684288792,4.662134822746008,0.988349476646414,0.03901506738813332,0.7318933011474883,0.5153468155664467,0.9999830482332291,0.0
0,5,0.20805947399026928,0.13241892307031886,1.1521555544135964,1.5712216136947645,0.7856647599238433,4.864633397687442,0.9953321861271531,0.04681237505513036,0.6876336966859251,0.5115985581983964,0.9999943753737222,0.0
0,6,0.20487335439167365,0.12125216999541061,1.213248288665226,1.689646910232024,0.7150688894754014,4.662122635074746,0.9883490563818877,0.07161292148212905,0.5638858893188702,0.511824360370422,0.9999828286252908,0.0
0,7,0.24415925631014782,0.14291752093729362,1.1808137684219515,1.7083927478512235,0.6962209421619828,4.79766140922467,0.9930228072146438,0.09035875910132862,0.48535724439460676,0.5351317562784312,0.9999882772933227,0.0
0,8,0.21651222471738246,0.14248299869993114,1.200039048435699,1.5195653284456534,0.6863276450713334,4.864792306110506,0.9953376657279485,0.0984686603042415,0.45486742212577047,0.516875108798204,0.9999936896722967,0.0
0,9,0.22250928306022463,0.12933203548243222,1.2143286561430209,1.720449865574482,0.6808108088442187,4.8648039697332255,0.9953380679218353,0.10241587682458708,0.4407281583408202,0.5208897097186334,0.9999942676288227,0.0
0,10,0.20132924941518054,0.11621353319498363,1.2043254199778581,1.7324079552541385,0.6748543108709423,4.999968895793977,0.9999989274411716,0.11437396650424358,0.40051993756237586,0.518810090577419,0.9999994244640624,0.0
0,11,0.2063907524829757,0.13637495147105344,1.2241643538136708,1.513406606247509,0.6538410430179358,4.594636202700109,0.9860219380241416,0.10462738250238601,0.4329993465864151,0.5179472182397706,0.9999544816740148,0.0
0,12,0.22901305008750447,0.13271170602357257,1.185927779486024,1.7256431776020318,0.6493868098694386,4.595482505157608,0.9860511208675037,0.10760918885213688,0.4227926070552721,0.5169606670865526,0.990715588342975,0.0
0,13,0.20168734550949632,0.133069838845648,1.160368192677331,1.515650332630522,0.6449158260880657,4.458644993757808,0.9813325859916485,0.10238365611937295,0.44084177756031234,0.5136456590997142,0.9996785551304899,0.0
0,14,0.21113479756839332,0.14645899346838034,1.205747080751429,1.4415966719993614,0.5897512699087976,4.797152465906965,0.9930052574450677,0.17643731675053353,0.2437777001294273,0.51694104846532,0.9999944358909404,0.0
0,15,0.22342620087171927,0.12445473460781306,1.1809261073928923,1.7952406678282606,0.5889533562064686,4.797027568429384,0.993000950635496,0.17720667907836574,0.2422818811279671,0.5159126888322547,0.9999932006736028,0.0
0,16,0.1996726049078975,0.1368269340826262,1.241039096993979,1.4593077470209226,0.5885056585566809,4.595346533207831,0.9860464321795803,0.15872624172897232,0.28088500344150996,0.5180378944354153,0.9942182826043733,0.0
0,17,0.22008896036691342,0.12239641965121792,1.1861471875062017,1.798165019810883,0.5748423487512894,4.6619932308696965,0.9883445941679205,0.18013103106098804,0.23667952964292815,0.515276665357403,0.999959576764067,0.0
0,18,0.21915002219319368,0.12345959694349441,1.2102960229934008,1.7750748230086586,0.5725966027762459,4.392718817504952,0.9790592695691362,0.1570408342587637,0.28469789625357445,0.5171620648698787,0.9999355272575303,0.0
0,19,0.2197172514302349,0.15357441067112274,1.1793498934517905,1.4306892044714146,0.563626484668527,4.59609729567771,0.9860723205406107,0.18734478427848034,0.22340739871034296,0.5164066842485462,0.9959229505873551,0.0
0,20,0.21185847921780096,0.15487565483721008,1.1163056468773076,1.3679262853834941,0.5604760582272094,4.999948495829251,0.9999982239941121,0.25010770336640076,0.13521872493393103,0.5166888276021675,0.9999991916104392,0.0
0,21,0.18865086751838656,0.14359388733591297,1.2355852008571246,1.3137806282594091,0.5399242709410633,4.999967256751894,0.9999988709224791,0.3042533604904858,0.08768303131295602,0.5158813099702093,0.9999990211885965,0.0
0,22,0.19441451848957578,0.11022144447997062,1.2388674630676466,1.7638538435676614,0.5380693511185125,3.854751375425657,0.9605086681181261,0.1458198548177665,0.3114368037505993,0.5188779087082027,0.9940764069961776,0.0
0,23,0.20054086775541205,0.15919017276763406,1.194493083257862,1.2597565808797542,0.49202097274047946,4.595217509445268,0.9860419830843196,0.35827740787014073,0.056913696049249965,0.5168526973357781,0.990714929965941,0.0
0,24,0.19142078142088198,0.14374417368154782,1.1582726905008693,1.3316768013495792,0.487342371563156,4.3246839618386845,0.9767132400634029,0.2863571874003157,0.1011796631638235,0.5136592548898931,0.9996809189064912,0.0
0,25,0.2430355971281605,0.12789369937914996,1.1878738912915245,1.9002937463530882,0.4836096036137742,4.260592848119613,0.9745032016592969,0.28225975760319333,0.10455123289034693,0.5160113466617026,0.9999465750979489,0.0
