step,R,spatial_var,monad_var,alpha,beta,alpha/beta,target_radius
1,2.0535899975152954,0.04041702574275556,0.08300000000000002,0.309016994,0.190983006,1.618033983610039,0.2804611076797792
2,1.7758480604784033,0.04043617246748086,0.0718084986271309,0.309016994,0.190983006,1.618033983610039,0.28427452648169366
3,1.6475615863591864,0.04041839811322521,0.06659180027827863,0.309016994,0.190983006,1.618033983610039,0.28741042465744865
4,1.8130017706682675,0.04040332333595645,0.07325129693027176,0.309016994,0.190983006,1.618033983610039,0.2915319003252068
5,2.3048462096207865,0.04042066380055691,0.09316341398155435,0.309016994,0.190983006,1.618033983610039,0.29858024497904023
6,2.6516845649746767,0.040501053148521794,0.10739601776432274,0.309016994,0.190983006,1.618033983610039,0.30787017854944526
7,2.3925474469317995,0.04047917357187836,0.09684834362256149,0.309016994,0.190983006,1.618033983610039,0.31585354442913965
8,2.0680401164829934,0.040550364039288966,0.08385977977804294,0.309016994,0.190983006,1.618033983610039,0.32199399075150903
9,1.7717339750398013,0.04069501829013587,0.07210074669667325,0.309016994,0.190983006,1.618033983610039,0.326345636337698
10,1.6256777682081835,0.0408121897700178,0.06634746974357918,0.309016994,0.190983006,1.618033983610039,0.3298027969040946
11,1.665207400265498,0.040912932989435095,0.06812851894709449,0.309016994,0.190983006,1.618033983610039,0.3335573207566159
12,2.252191621155769,0.041105482324428566,0.09257742309986375,0.309016994,0.190983006,1.618033983610039,0.34127044434529524
13,2.50460030376296,0.041266290078074086,0.10335556291517481,0.309016994,0.190983006,1.618033983610039,0.35088471737669735
14,2.3414142484525176,0.041488131311280166,0.09714090202804183,0.309016994,0.190983006,1.618033983610039,0.3596246539084008
15,2.0401549143908677,0.0416242576316673,0.08491993396913312,0.309016994,0.190983006,1.618033983610039,0.36641548159487547
16,1.7719834415780125,0.04185876528998708,0.07417303915595591,0.309016994,0.190983006,1.618033983610039,0.37136929756079484
17,1.5902397597218272,0.042155678084559306,0.06703763554712426,0.309016994,0.190983006,1.618033983610039,0.37504020700868507
18,1.6283341244071516,0.042430220689102204,0.06909057641702486,0.309016994,0.190983006,1.618033983610039,0.37903314101299396
19,2.0728837506139652,0.04267512619761758,0.08846057585773019,0.309016994,0.190983006,1.618033983610039,0.38643856734098925
20,2.3631333914656216,0.042965312807885264,0.10153276560739256,0.309016994,0.190983006,1.618033983610039,0.3962319515895473
21,2.2446123173220958,0.04335953992593061,0.09732535761562428,0.309016994,0.190983006,1.618033983610039,0.40533428959179385
22,1.9593645343525692,0.043700715658702725,0.08562563258342455,0.309016994,0.190983006,1.618033983610039,0.41233331459560485
23,1.6926338172796405,0.04410550976491248,0.07465447752571165,0.309016994,0.190983006,1.618033983610039,0.41725355458517965
24,1.5162654625387062,0.044646336497636836,0.06769569821187459,0.309016994,0.190983006,1.618033983610039,0.42076069974745284
25,1.5529563575709553,0.045124345692180066,0.07007613967919622,0.309016994,0.190983006,1.618033983610039,0.42460608528276494
26,1.81442608338027,0.045552912341787044,0.08265239250831603,0.309016994,0.190983006,1.618033983610039,0.4307070470193475
27,2.0841495831610892,0.046018823683155345,0.09591011240522684,0.309016994,0.190983006,1.618033983610039,0.4392191067988817
28,2.1585951149834863,0.046412377233032896,0.1001855309858551,0.309016994,0.190983006,1.618033983610039,0.44855334834471977
29,1.8315711368049319,0.04690161152347422,0.08590363811919008,0.309016994,0.190983006,1.618033983610039,0.4551522062719115
30,1.5776502406402175,0.047476406739546465,0.07490116467514335,0.309016994,0.190983006,1.618033983610039,0.45953668966548733
31,1.4290758797786924,0.04795577368533498,0.06853243961274555,0.309016994,0.190983006,1.618033983610039,0.4625979014095057
32,1.4138054839408094,0.048502140713620925,0.06857259266516662,0.309016994,0.190983006,1.618033983610039,0.46553822440805476
33,1.5296592026110405,0.049006602484721905,0.07496340063242186,0.309016994,0.190983006,1.618033983610039,0.46957592311168983
34,1.9529862106536162,0.04961267043087668,0.09689286142050318,0.309016994,0.190983006,1.618033983610039,0.4776243249309231
35,2.0006747029354024,0.05022509488309779,0.10048407698521153,0.309016994,0.190983006,1.618033983610039,0.4862662178163552
36,1.6923850504721343,0.05085849775781893,0.08607216146404183,0.309016994,0.190983006,1.618033983610039,0.49206625587346126
37,1.4575271687390319,0.051510705157790444,0.07507825239413807,0.309016994,0.190983006,1.618033983610039,0.4956241622798202
38,1.3202733388906471,0.05225777449177683,0.06899454654328002,0.309016994,0.190983006,1.618033983610039,0.4978472679940077
39,1.272465484325873,0.05288512287569563,0.06729449362090188,0.309016994,0.190983006,1.618033983610039,0.49960432517934517
40,1.4208801825739852,0.05366322808982922,0.07624901746787398,0.309016994,0.190983006,1.618033983610039,0.5028505560669255
41,1.801817805264605,0.05432084774401325,0.09787627084241252,0.309016994,0.190983006,1.618033983610039,0.5099489735841104
42,1.9668009928782144,0.055091101694036866,0.10835323370726649,0.309016994,0.190983006,1.618033983610039,0.5188302550343958
43,1.5661344327793485,0.055957026751536236,0.08763622650814948,0.309016994,0.190983006,1.618033983610039,0.523708654387583
44,1.3526041667316713,0.05672416103134882,0.07672533670062114,0.309016994,0.190983006,1.618033983610039,0.5263963708449687
45,1.2030389971629074,0.05750768230309762,0.06918398456738555,0.309016994,0.190983006,1.618033983610039,0.5275232696378775
46,1.1696315932828345,0.0582745752829114,0.06815978445299531,0.309016994,0.190983006,1.618033983610039,0.5283001172146217
47,1.3113762579875827,0.05897995739985629,0.0773449159624282,0.309016994,0.190983006,1.618033983610039,0.5305757832614234
